batchid|start_epoch|asup_date_range|#asups|eta_epoch|grps_completed|grps_failed|comments|status|touch
302203137|1378477080|2013-08-31/04 to 2013-09-06/09|2312934|1378520280||||COMPLETED|1378639086
302203142|1379560080|0|0|0|0|0|375000|MERGING|1379689356
302203142|1379560080|2013-09-07/19 to 2013-09-08/03|345023|1379603280||||INPROGRESS|1379689394
302203143|1379818860|0|0|0|0|0|300000|NEW|1379845015
302203143|1379818860|2013-09-08/04 to 2013-09-09/06|299126|1379862060||||INPROGRESS|1379845144
302203143|1379818860|2013-09-08/04 to 2013-09-09/06|299126|1379862060|1|||INPROGRESS|1380005888525
302203143|1379818860|2013-09-08/04 to 2013-09-09/06|299126|1379862060|1,2|||INPROGRESS|1380005888528
302203143|1379818860|2013-09-08/04 to 2013-09-09/06|299126|1379862060|1,2,3|||INPROGRESS|1380005888530
302203143|1379818860|2013-09-08/04 to 2013-09-09/06|299126|1379862060|1,2,3,4|||INPROGRESS|1380005888533
302203143|1379818860|2013-09-08/04 to 2013-09-09/06|299126|1379862060|1,2,3,4,6|||INPROGRESS|1380005888535
302203143|1379818860|2013-09-08/04 to 2013-09-09/06|299126|1379862060|1,2,3,4,6|7||INPROGRESS|1380005888538
302203147|1380730200|2013-09-27/18 to 2013-09-28/23|286735|1380773400||||MERGED|1380744011
